strategy,baseline_family,split,date,episode_id,start_row,start_timestamp,end_timestamp,direction,kappa_T,task_size,n_steps,depth,initial_mid,final_mid,market_move_signed,scheduled_total,executed_quantity,unfinished,completion_rate,episode_vwap,slippage_notional,slippage_per_share_task,slippage_ticks_per_share,avg_sq_remaining,max_remaining,completion_step,half_completion_step,n_fill_steps,aggressive_ratio,carry_unfilled,local_episode_id,episode_key,data_format,lobster_levels,tick_size,lot_size
twap,classical_control,test,2026-04-08,2026-04-08_0000,0,34200.000773746,34202.638508597,buy,0.0,600,64,10,223.73000000000002,224.965,1.2349999999999852,600,600,0,1.0,224.73948333333328,605.6899999999878,1.0094833333333129,100.94833333333129,109703.125,590,60,30,60,1.0,True,0,2026-04-08_0000,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0001,6400,34202.638870292,34210.609639984,buy,0.0,600,64,10,224.965,224.995,0.030000000000001137,600,600,0,1.0,225.41828333333333,271.9699999999948,0.45328333333332466,45.328333333332466,109703.125,590,60,30,60,1.0,True,1,2026-04-08_0001,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0002,12800,34210.741675745,34229.960288904,buy,0.0,600,64,10,224.905,224.695,-0.21000000000000796,600,600,0,1.0,224.84064999999998,-38.61000000001059,-0.06435000000001764,-6.435000000001764,109703.125,590,60,30,60,1.0,True,2,2026-04-08_0002,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0003,19200,34229.96822574,34253.764930848,buy,0.0,600,64,10,224.71,223.905,-0.8050000000000068,600,600,0,1.0,224.27806666666675,-259.15999999999394,-0.43193333333332323,-43.193333333332326,109703.125,590,60,30,60,1.0,True,3,2026-04-08_0003,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0004,25600,34253.966423851,34274.198779601,buy,0.0,600,64,10,223.825,223.565,-0.2599999999999909,600,600,0,1.0,223.76700000000008,-34.79999999999791,-0.05799999999999651,-5.799999999999652,109703.125,590,60,30,60,1.0,True,4,2026-04-08_0004,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0005,32000,34275.110407811,34298.317352017,buy,0.0,600,64,10,223.565,223.365,-0.19999999999998863,600,600,0,1.0,223.57781666666662,7.689999999994143,0.012816666666656904,1.2816666666656904,109703.125,590,60,30,60,1.0,True,5,2026-04-08_0005,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0006,38400,34298.592176278,34319.787442804,buy,0.0,600,64,10,223.36,222.93,-0.4300000000000068,600,600,0,1.0,223.20266666666672,-94.40000000002146,-0.1573333333333691,-15.73333333333691,109703.125,590,60,30,60,1.0,True,6,2026-04-08_0006,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0007,44800,34320.035668407,34332.920046388,sell,0.0,600,64,10,222.90499999999997,222.70499999999998,0.19999999999998863,600,600,0,1.0,222.94951666666665,-26.710000000016407,-0.04451666666669401,-4.451666666669401,109703.125,590,60,30,60,1.0,True,7,2026-04-08_0007,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0008,51200,34332.989027819,34348.147067344,sell,0.0,600,64,10,222.70999999999998,222.245,0.464999999999975,600,600,0,1.0,222.44984999999997,156.0899999999965,0.26014999999999416,26.014999999999418,109703.125,590,60,30,60,1.0,True,8,2026-04-08_0008,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0009,57600,34348.52664188,34371.443173113,sell,0.0,600,64,10,222.27499999999998,221.94,0.33499999999997954,600,600,0,1.0,222.09186666666665,109.88000000000147,0.18313333333333578,18.313333333333578,109703.125,590,60,30,60,1.0,True,9,2026-04-08_0009,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0010,64000,34371.448793506,34389.546779137,sell,0.0,600,64,10,221.95499999999998,222.265,-0.3100000000000023,600,600,0,1.0,222.02378333333337,-41.27000000001772,-0.06878333333336287,-6.878333333336286,109703.125,590,60,30,60,1.0,True,10,2026-04-08_0010,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0011,70400,34389.862316325,34404.822063057,buy,0.0,600,64,10,222.23,222.39,0.1599999999999966,600,600,0,1.0,222.4124,109.44000000001779,0.18240000000002965,18.240000000002965,109703.125,590,60,30,60,1.0,True,11,2026-04-08_0011,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0012,76800,34405.157029161,34415.915907439,buy,0.0,600,64,10,222.37,221.925,-0.4449999999999932,600,600,0,1.0,222.24771666666663,-73.36999999998807,-0.12228333333331344,-12.228333333331344,109703.125,590,60,30,60,1.0,True,12,2026-04-08_0012,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0013,83200,34415.940135059,34433.479021523,sell,0.0,600,64,10,221.935,222.24,-0.3050000000000068,600,600,0,1.0,222.03608333333332,-60.650000000003274,-0.10108333333333878,-10.10833333333388,109703.125,590,60,30,60,1.0,True,13,2026-04-08_0013,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0014,89600,34433.694864112,34449.259776396,sell,0.0,600,64,10,222.275,222.57,-0.2949999999999875,600,600,0,1.0,222.35766666666663,-49.59999999999809,-0.08266666666666349,-8.266666666666348,109703.125,590,60,30,60,1.0,True,14,2026-04-08_0014,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0015,96000,34449.643858232,34468.970028035,buy,0.0,600,64,10,222.55,222.325,-0.22500000000002274,600,600,0,1.0,222.39719999999997,-91.68000000000347,-0.1528000000000058,-15.280000000000578,109703.125,590,60,30,60,1.0,True,15,2026-04-08_0015,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0016,102400,34469.261210121,34493.614543456,sell,0.0,600,64,10,222.28,222.39999999999998,-0.11999999999997613,600,600,0,1.0,222.31109999999995,-18.659999999989395,-0.031099999999982326,-3.1099999999982324,109703.125,590,60,30,60,1.0,True,16,2026-04-08_0016,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0017,108800,34493.88569847,34508.344173869,buy,0.0,600,64,10,222.39999999999998,222.245,-0.15499999999997272,600,600,0,1.0,222.42541666666656,15.249999999996817,0.025416666666661362,2.5416666666661363,109703.125,590,60,30,60,1.0,True,17,2026-04-08_0017,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0018,115200,34508.434076584,34527.025046712,sell,0.0,600,64,10,222.29000000000002,221.9,0.3900000000000148,600,600,0,1.0,222.0666,134.04000000000678,0.2234000000000113,22.34000000000113,109703.125,590,60,30,60,1.0,True,18,2026-04-08_0018,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0019,121600,34527.246384874,34544.18389062,sell,0.0,600,64,10,221.925,221.95499999999998,-0.029999999999972715,600,600,0,1.0,221.82216666666673,61.699999999998,0.10283333333333,10.283333333333,109703.125,590,60,30,60,1.0,True,19,2026-04-08_0019,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0020,128000,34544.287330322,34559.999642422,buy,0.0,600,64,10,221.95,222.01999999999998,0.06999999999999318,600,600,0,1.0,221.93258333333333,-10.450000000002547,-0.01741666666667091,-1.741666666667091,109703.125,590,60,30,60,1.0,True,20,2026-04-08_0020,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0021,134400,34560.045186652,34572.219346446,sell,0.0,600,64,10,222.06,221.75,0.3100000000000023,600,600,0,1.0,221.89309999999998,100.13999999999896,0.16689999999999827,16.689999999999827,109703.125,590,60,30,60,1.0,True,21,2026-04-08_0021,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0022,140800,34572.317889837,34588.186475282,sell,0.0,600,64,10,221.745,221.635,0.11000000000001364,600,600,0,1.0,221.82066666666665,-45.400000000011005,-0.075666666666685,-7.5666666666685005,109703.125,590,60,30,60,1.0,True,22,2026-04-08_0022,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0023,147200,34588.558663907,34607.338562091,sell,0.0,600,64,10,221.615,221.735,-0.12000000000000455,600,600,0,1.0,221.69416666666663,-47.49999999999318,-0.0791666666666553,-7.91666666666553,109703.125,590,60,30,60,1.0,True,23,2026-04-08_0023,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0024,153600,34608.287347704,34622.757162652,buy,0.0,600,64,10,221.72,221.47500000000002,-0.24499999999997613,600,600,0,1.0,221.55103333333327,-101.37999999998556,-0.1689666666666426,-16.89666666666426,109703.125,590,60,30,60,1.0,True,24,2026-04-08_0024,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0025,160000,34622.932516266,34645.020423931,sell,0.0,600,64,10,221.44,221.755,-0.3149999999999977,600,600,0,1.0,221.44483333333332,-2.899999999994634,-0.00483333333332439,-0.483333333332439,109703.125,590,60,30,60,1.0,True,25,2026-04-08_0025,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0026,166400,34645.220700322,34666.730439803,buy,0.0,600,64,10,221.765,221.7,-0.06499999999999773,600,600,0,1.0,221.89351666666664,77.1100000000215,0.1285166666667025,12.85166666667025,109703.125,590,60,30,60,1.0,True,26,2026-04-08_0026,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0027,172800,34667.182902222,34685.599610092,sell,0.0,600,64,10,221.72,221.60500000000002,0.11499999999998067,600,600,0,1.0,221.7658,-27.480000000013206,-0.04580000000002201,-4.580000000002201,109703.125,590,60,30,60,1.0,True,27,2026-04-08_0027,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0028,179200,34685.827531006,34699.391386329,sell,0.0,600,64,10,221.64,222.07,-0.4300000000000068,600,600,0,1.0,221.81418333333335,-104.51000000002114,-0.17418333333336855,-17.418333333336857,109703.125,590,60,30,60,1.0,True,28,2026-04-08_0028,lobster,10,0.01,10
twap,classical_control,test,2026-04-08,2026-04-08_0029,185600,34699.951815098,34717.795356278,buy,0.0,600,64,10,222.075,221.76999999999998,-0.3050000000000068,600,600,0,1.0,221.96791666666667,-64.25000000000045,-0.10708333333333409,-10.708333333333409,109703.125,590,60,30,60,1.0,True,29,2026-04-08_0029,lobster,10,0.01,10
